Department,Sub-Department,Billing Classification,Billing Code,"Description
",2011/2012,2012/2013,2012/2013,2013/2014
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,275,Kirkpatrick/Solar Street Improvements,"$34,317 ","$35,689","$35,689",$0
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,275,2000 Unimproved Street Overlay,"$40,853","$42,487 ","$42,487",$0
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,275,2000/01 Road Construction,"$292,509","$304,210","$304,210",$0
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,275,Sunnycrest Park Track Improvements,"$13,618","$14,162","$14,162",$0
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,275,2000 City Sidewalk Improvements,"$21,788","$22,660","$22,660",$0
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,275,2000 Settled Claim,"$47,390","$49,285","$49,285",$0
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,275,2000 Public Park Improvements,"$195,006 ","$202,806 ","$202,806",$0
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,275,2001 Public Improvements,"$87,154 ","$90,640 ","$90,640",$0
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,300,Washington Street Garage,"$445,000 ","$445,000","$445,000","$450,000"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,300,Harrison Street Garage-Phase III,"$65,000","$65,000","$65,000",$0
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,320,Walton Street Bridge,"$87,127 ","$90,757 ","$90,757 ","$94,387"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,320,Fire Apparatus Replacement-2003,"$8,155 ","$8,495 ","$8,495 ","$8,835"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,320,Fire Apparatus Replacement-2003,"$14,612","$15,221 ","$15,221","$15,829"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,320,Public Infrastructure Improvements,"$112,816 ","$117,517 ","$117,517 ","$122,218"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,320,Clinton Square Traffic Improvements,"$135,930","$141,594","$141,594 ","$147,258"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,320,City-Owned Sidewalks,"$13,592 ","$14,159","$14,159 ","$14,725"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,320,Road Reconstruction-2002,"$373,789","$389,364","$389,364 ","$404,939"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,320,2002 Unimproved Street Overlay,"$32,078 ","$33,415","$33,415","$34,751"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,320,Traffic Signal Program,"$27,185 ","$28,317 ","$28,317 ","$29,450"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,320,City-Owned Building Improvements-2001/02,"$20,389","$21,238 ","$21,238 ","$22,088"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,320,Parking Garage Rehabilitation-2001,"$23,787","$24,778 ","$24,778 ","$25,769"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,320,Parking Garage Rehabilitation-2003,"$24,126 ","$25,132","$25,132 ","$26,137"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,320,Forman Park Improvements,"$13,592 ","$14,159 ","$14,159","$14,725"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,320,Lakefront Transportation Study,"$101,053 ","$105,263","$105,263 ","$109,473"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,320,Fineview Place Bridge,"$13,592 ","$14,159 ","$14,159 ","$14,725"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,320,W. Seneca Street Bridge,"$20,389 ","$21,239","$21,238","$22,088"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,320,Retaining Walls,"$35,340 ","$36,812 ","$36,812 ","$38,285"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,330,Fire Station Repairs,"$37,503","$38,545","$38,545","$40,628"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,330,First Response Vehicles,"$6,297","$6,472","$6,472","$6,822"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,330,Southwest Community Center,"$43,730","$44,945","$44,945","$47,375"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,330,Wilson Community Center,"$33,235","$34,158","$34,158","$36,005"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,330,Temple Street Bridge,"$5,248","$5,393","$5,393","$5,685"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,330,Erie Blvd. West Street Bridge,"$69,969","$71,912","$71,912","$75,799"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,330,Traffic Indicator Replacement,"$48,978","$50,339","$50,339","$53,060"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,330,Unimproved Street Overlay,"$13,994","$14,382","$14,382","$15,160"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,330,2003/04 City Owned Sidewalks,"$20,991","$21,574","$21,574","$22,740"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,330,Road Reconstruction-2004,"$388,326","$399,113","$399,113","$420,687"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,330,Traffic Signals/Intersections,"$31,486","$32,361","$32,361","$34,110"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,330,Parking Meter Replacement,"$18,542","$19,057","$19,057","$20,087"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,330,Single Indicator Traffic Signals,"$2,799","$2,876","$2,876","$3,032"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,330,City-wide Traffic Signals,"$3,498","$3,596","$3,596","$3,790"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,330,DPW Facility Improvements,"$11,020","$11,326","$11,326","$11,938"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,355,Street Lighting,"$36,302","$37,512","$37,512","$39,448"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,355,2004 Unimproved Street Overlay,"$24,685","$25,508","$25,508","$26,825"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,355,Parking Meter Replacement,"$21,327","$22,038","$22,038","$23,176"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,355,Parking Meter Replacement Phase II,"$45,378","$46,890","$46,890","$49,310"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,355,City Hall Energy Improvements,"$54,453","$56,268","$56,268","$59,172"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,355,Road Reconstruction-2005,"$503,691","$520,480","$520,480","$547,344"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,355,2004/05 City -Owned Sidewalks,"$31,764","$32,823","$32,823","$34,517"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,355,Traffic Sign Rehabilitation Phase II,"$4,538","$4,689","$4,689","$4,931"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,360,City Employee Retirement System,"$171,065","$175,688","$175,688","$184,935"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,360,Police/Fire Retirement System,"$608,990","$625,449","$625,449","$658,368"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,370,First Response Vehicles,"$2,227","$2,293","$2,293","$2,424"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,370,2005 Unimproved Street Overlay,"$17,770","$18,292","$18,292","$19,337"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,370,Single Indicator Traffic Signals,"$7,108","$7,317","$7,317","$7,735"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,370,Traffic Signal Loop,"$5,923","$6,097","$6,097","$6,446"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,370,Central Business District Sidewalks,"$7,108","$7,317","$7,317","$7,735"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,370,City Hall Energy Improvements,"$32,601","$33,560","$33,560","$35,478"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,370,City-Owned Building Improvements-2004/05,"$14,168","$14,585","$14,585","$15,418"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,370,Traffic Signal Interconnect/W. Genesee and Geddes,"$37,908","$39,023","$39,023","$41,253"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,370,Traffic Signal Interconnect/N. Salina and Lodi,"$2,369","$2,439","$2,439","$2,578"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,370,Road Reconstruction-2006,"$239,296","$246,335","$246,335","$260,411"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,370,2006 Unimproved Street Overlay,"$28,431","$29,267","$29,267","$30,940"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,375,Road Reconstruction-1994/1995,"$106,414","$110,326","$110,326","$114,042"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,375,Fuel Facility,"$27,624","$28,640","$28,640","$29,605"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,375,Road Reconstruction-1995,"$108,896","$112,900","$112,900","$116,703"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,375,Fire Apparatus Replacement-1994,"$26,423","$27,394","$27,394","$28,317"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,375,South Avenue Bridges,"$43,238","$44,828","$44,828","$46,338"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,375,Harrison Street Traffic Operations,"$16,414","$17,017","$17,017","$17,591"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,375,Fire Station 6 Replacement,"$200,977","$208,366","$208,366","$215,385"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,375,Tax Certiorari Refunds-1995,"$7,758","$8,043","$8,043","$8,315"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,375,Tax Certiorari Refunds-1996,"$12,900","$13,375","$13,375","$13,825"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,375,Road Reconstruction-1996,"$21,619","$22,414","$22,414","$23,169"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,375,Road Reconstruction-1997,"$208,184","$215,837","$215,837","$223,109"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,375,Burnet Park Ice Rink,"$36,031","$37,356","$37,356","$38,614"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,375,West Genesee Street Bridge Rehabilitation,"$3,203","$3,321","$3,321","$3,433"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,375,MONY Parking Garage-Non-Taxable,"$400,353","$415,072","$415,072","$429,055"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,375,Onondaga Tower Garage Renovations,"$280,247","$290,551","$290,551","$300,338"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,375,Downtown Vaults,"$24,021","$24,904","$24,904","$25,743"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,380,Kirk Park Improvements,"$13,682","$13,936","$13,936","$14,392"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,380,Castle/State Streets Parks,"$8,818","$8,981","$8,981","$9,275"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,380,Lewis Park Water Playscape,"$3,243","$3,304","$3,304","$3,411"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,380,Parks Facility Improvements,"$7,094","$7,226","$7,226","$7,462"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,380,Fire Apparatus,"$78,041","$79,486","$79,486","$82,087"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,380,Walton Street Bridge Improvements,"$23,954","$24,398","$24,398","$25,196"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,380,Fire Station Repairs,"$47,909","$48,795","$48,795","$50,392"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,380,1997/2000 City Buildings-Salt Dome,"$47,909","$48,795","$48,795","$50,392"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,380,Unimproved Streets Overlay,"$23,954","$24,398","$24,398","$25,196"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,380,1999/2000 Road Reconstruction,"$239,541","$243,976","$243,976","$251,961"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,380,1999/2000 Traffic Signal Improvements,"$23,954","$24,398","$24,398","$25,196"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,380,1999/2000 Fire Vehicles,"$49,504","$50,423","$50,423","$52,072"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,380,101 Chester Street Phase II,"$5,989","$6,099","$6,099","$6,299"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,380,1999/2000 DPW Vehicles,"$90,227","$91,898","$91,898","$94,905"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,380,1995/96 Traffic Signal Interconnect,"$87,832","$89,458","$89,458","$92,386"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,380,Police Facility,"$101,805","$103,690","$103,690","$107,084"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,380,1998/99 Kirkpatrick/Solar Streets,"$23,954","$24,398","$24,398","$25,196"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,380,1998/99 Creek Walk Phases I-IV,"$23,954","$24,398","$24,398","$25,196"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,395,Pension Obligation,405000,"$425,000","$425,000","$445,000"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,405,Fire Apparatus Replacement-2004,"$38,100","$40,054","$40,054","$41,031"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,405,Fire Station #5,"$8,573","$9,012","$9,012","$9,232"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,405,Aerial Tower Truck,"$28,004","$29,440","$29,440","$30,158"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,405,First Response Vehicle,"$1,791","$1,883","$1,883","$1,928"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,405,Police Vehicles,"$38,100","$40,054","$40,054","$41,031"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,405,Southwest Community Center,"$16,193","$17,023","$17,023","$17,438"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,405,Kirk Park Playground,"$5,715","$6,008","$6,008","$6,155"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,405,Parking Meter Replacement Phase III,"$19,050","$20,027","$20,027","$20,516"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,405,Parking Meter Replacement Phase IV,"$7,620","$8,011","$8,011","$8,206"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,405,South Salina Streetscape,"$9,525","$10,014","$10,014","$10,258"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,405,Street Lighting Improvements,"$15,240","$16,022","$16,022","$16,412"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,405,City Signs Phase III,"$1,905","$2,003","$2,003","$2,052"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,405,DPW Facility Improvement,"$7,620","$8,011","$8,011","$8,206"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,405,North Salina Streetscape,"$28,575","$30,041","$30,041","$30,773"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,405,Central Business District II,"$5,715","$6,008","$6,008","$6,155"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,405,05/06 City-Owned Sidewalks,"$13,335","$14,019","$14,019","$14,361"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,405,Eastwood Streetscape,"$13,335","$14,019","$14,019","$14,361"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,405,East Genesee Streetscape,"$27,623","$29,039","$29,039","$29,748"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,405,Traffic Signal Loop,"$4,763","$5,007","$5,007","$5,129"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,405,Road Reconstruction-2007,"$139,066","$146,198","$146,198","$149,763"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,405,2006/07 City-Owned Sidewalks,"$6,668","$7,009","$7,009","$7,180"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,405,2007 Unimproved Streets Overlay,"$7,620","$8,011","$8,011","$8,206"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,405,Parking Garage Rehabilitation-2004,"$12,383","$13,018","$13,018","$13,335"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,405,Fayette Parking Garage,"$13,335","$14,019","$14,019","$14,361"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,405,MONY Garage-Taxable,"$34,162","$35,914","$35,914","$36,790"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,415,Fire Apparatus Replacement-2006,"$29,395","$29,395","$29,395","$32,068"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,415,City Hall Energy Improvements,"$3,919","$3,919","$3,919","$4,276"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,415,DPW Road/Parking Areas,"$5,599","$5,599","$5,599","$6,108"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,415,Traffic Signals/Intersections,"$16,797","$16,797","$16,797","$18,324"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,415,Asphalt Plant,"$139,978","$139,978","$139,978","$152,703"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,415,City-Owned Building Improvements-2005/06,"$16,797","$16,797","$16,797","$18,324"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,415,City Hall Roof,"$19,597","$19,597","$19,597","$21,378"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,415,Traffic Sign Rehabilitation Phase IV,"$2,800","$2,800","$2,800","$3,054"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,415,Road Reconstruction-2008,"$223,964","$223,964","$223,964","$244,325"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,415,West Fayette Bridge Design,"$8,175","$8,175","$8,175","$8,918"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,415,Dorwin Ave. Bridge Design,"$11,534","$11,534","$11,534","$12,583"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,415,Butternut Corridor Streetscape,"$25,196","$25,196","$25,196","$27,487"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,415,Beech Street Retaining Wall,"$16,797","$16,797","$16,797","$18,324"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,415,South Salina Gateway Corridor,"$11,198","$11,198","$11,198","$12,216"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,425,Retaining Walls,"$21,516","$22,649","$22,649","$23,781"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,425,Asphalt Plant,"$80,685","$84,932","$84,932","$89,179"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,425,2007/08 City-Owned Sidewalks,"$9,413","$9,909","$9,909","$10,404"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,425,2008 Unimproved Streets Overlay,"$10,758","$11,324","$11,324","$11,890"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,425,Geddes Streetscape Phase I,"$21,516","$22,649","$22,649","$23,781"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,425,Road Reconstruction-2008,"$215,161","$226,485","$226,485","$237,809"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,425,DPW Energy Retrofit,"$8,370","$8,810","$8,810","$9,251"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,430,Parking Garage Rehabilitation-2005,"$22,221","$23,361","$23,361","$24,500"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,430,101 Chester St,"$3,419","$3,594","$3,594","$3,769"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,430,Sunnycrest Ice Rink,"$20,512","$21,564","$21,564","$22,616"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,430,Street Lighting Improvements-2006/07,"$17,093","$17,970","$17,970","$18,846"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,430,Traffic Signal Loop,"$4,444","$4,672","$4,672","$4,900"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,430,Central Business District Sidewalks,"$5,128","$5,391","$5,391","$5,654"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,430,S. Geddes Streetscape Phase I,"$5,012","$5,269","$5,269","$5,526"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,430,Retaining Walls,"$41,024","$43,128","$43,128","$45,231"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,430,AXA Towers Design,"$2,249","$2,365","$2,365","$2,480"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,430,Butternut Corridor Streetscape Phase II,"$23,931","$25,158","$25,158","$26,385"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,430,Fire Station Repairs,"$7,863","$8,266","$8,266","$8,669"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,430,Fire Apparatus Replacement-2007,"$44,306","$46,578","$46,578","$48,850"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,430,Homer Wheaton Park,"$3,419","$3,594","$3,594","$3,769"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,430,Traffic Sign Rehabilitation Phase V,"$3,419","$3,594","$3,594","$3,769"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,430,Symphony Square Design,"$10,270","$10,796","$10,796","$11,323"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,430,AXA Towers Renovation,"$25,100","$26,387","$26,387","$27,674"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,430,Ward Bakery Site,"$3,419","$3,594","$3,594","$3,769"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,430,2008/09 City-Owned Sidewalks,"$11,965","$12,579","$12,579","$13,193"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,430,Belge Settlement,"$51,280","$53,910","$53,910","$56,539"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,430,2008/09 Police Capital Equipment,"$49,468","$52,005","$52,005","$54,542"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,430,2008/09 DPW Capital Equipment,"$31,793","$33,424","$33,424","$35,054"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,430,2008/09 Parks Capital Equipment,"$17,230","$18,114","$18,114","$18,997"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,430,2008/09 Engineering Capital Equipment,"$6,017","$6,325","$6,325","$6,634"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,430,Road Reconstruction-2009,"$341,865","$359,397","$359,397","$376,928"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,435,2009/10 Police Capital Equipment,"$52,164","$54,468","$54,468","$56,563"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,435,2009/10 Parks Capital Equipment,"$19,157","$20,003","$20,003","$20,772"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,435,2007/08 Parking Garage Rehab,"$10,680","$11,152","$11,152","$11,580"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,435,Culvert/Drainage Improvements,"$1,669","$1,742","$1,742","$1,809"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,435,Minor Bridge Repair,"$1,669","$1,742","$1,742","$1,809"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,435,Culvert/Drainage Improvements,"$8,344","$8,712","$8,712","$9,047"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,435,2009/10 DPW Vehicles,"$36,178","$37,776","$37,776","$39,229"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,435,Traffic Signal Upgrade Design,"$7,409","$7,736","$7,736","$8,034"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,435,2010/11 Road Recon-TIP,"$66,748","$69,697","$69,697","$72,378"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,435,2010/11 Road Recon,"$133,497","$139,394","$139,394","$144,755"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,435,Street Lighting Improvements-2007/08,"$20,025","$20,909","$20,909","$21,713"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,435,Sibley's Garage Study,"$35,844","$37,428","$37,428","$38,867"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,435,2009/10 Fire Vehicles,"$8,077","$8,433","$8,433","$8,758"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,435,Fire Apparatus Replacement-2009,"$102,926","$107,473","$107,473","$111,607"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,435,2010 Settled Claim,"$200,245","$209,091","$209,091","$217,133"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,450,Fire Station Repairs,"$50,945","$52,720","$52,720",$0
