Department,Office,Division,Position,Grade,Salary Range - Low,Salary Range-High,"Headcount-Current 
2015-2016","Headcount-Projected
2016-2017"
DEPARTMENT OF WATER,DEPARTMENT OF WATER,DIVISION OF WATER FINANCE,Account Clerk II,FLAT,$15.43/Hr.,$15.43/Hr.,1,1
DEPARTMENT OF WATER,DEPARTMENT OF WATER,DIVISION OF ENGINEERING,Commissioner of Water,20E,"$69,874.00","$90,502.00",1,1
DEPARTMENT OF WATER,DEPARTMENT OF WATER,DIVISION OF ENGINEERING,Deputy Commissioner of Water,18E,"$57,896.00","$76,870.00",1,1
DEPARTMENT OF WATER,DEPARTMENT OF WATER,DIVISION OF ENGINEERING,Management Analyst,16,"$56,079.00","$63,541.00",1,1
DEPARTMENT OF WATER,DEPARTMENT OF WATER,DIVISION OF ENGINEERING,Water Systems Construction Engineer I,16M,"$50,226.00","$68,805.00",1,1
DEPARTMENT OF WATER,DEPARTMENT OF WATER,DIVISION OF ENGINEERING,Civil Engineer II,15,"$52,467.00","$59,231.00",1,1
DEPARTMENT OF WATER,DEPARTMENT OF WATER,DIVISION OF ENGINEERING,Office Automation Technician,11,"$40,221.00","$46,301.00",1,1
DEPARTMENT OF WATER,DEPARTMENT OF WATER,DIVISION OF ENGINEERING,Engineering Technician I,10,"$37,678.00","$43,761.00",2,2
DEPARTMENT OF WATER,DEPARTMENT OF WATER,WATER QUALITY MANAGEMENT SECTION,Water Plant Manager,15M,"$44,874.00","$59,720.00",1,1
DEPARTMENT OF WATER,DEPARTMENT OF WATER,WATER QUALITY MANAGEMENT SECTION,Sanitarian I,13M,"$41,226.00","$52,898.00",1,1
DEPARTMENT OF WATER,DEPARTMENT OF WATER,WATER QUALITY MANAGEMENT SECTION,Watershed Inspector,16,$17.52,$18.39,2,2
DEPARTMENT OF WATER,DEPARTMENT OF WATER,WATER QUALITY MANAGEMENT SECTION,Water Treatment Plant Operator I,13,$16.72,$17.57,2,2
DEPARTMENT OF WATER,DEPARTMENT OF WATER,WATER QUALITY MANAGEMENT SECTION,Summer Aide,FLAT,$10.00/Hr.,$10.00/Hr.,1,1
DEPARTMENT OF WATER,DEPARTMENT OF WATER,SKANEATELES WATERSHED PROGRAM,Geographic Information Specialist II,15,"$52,467.00","$59,231.00",1,1
DEPARTMENT OF WATER,DEPARTMENT OF WATER,SKANEATELES WATERSHED PROGRAM,Administrative Assistant,10,"$37,678.00","$43,761.00",1,1
DEPARTMENT OF WATER,DEPARTMENT OF WATER,PLANT SECTION,Supt. of Maintenance & Operations,16M,"$50,226.00","$68,805.00",1,1
DEPARTMENT OF WATER,DEPARTMENT OF WATER,PLANT SECTION,Ass't. Supt. of Maintenance & Operations,15M,"$44,874.00","$59,720.00",2,2
DEPARTMENT OF WATER,DEPARTMENT OF WATER,PLANT SECTION,Meter Replacement Supervisor,15M,"$44,874.00","$59,720.00",1,1
DEPARTMENT OF WATER,DEPARTMENT OF WATER,PLANT SECTION,Supervisor of Stores & Services,13M,"$41,226.00","$52,898.00",1,1
DEPARTMENT OF WATER,DEPARTMENT OF WATER,PLANT SECTION,Instrumentation Mechanic,13,"$46,002.00","$52,768.00",1,1
DEPARTMENT OF WATER,DEPARTMENT OF WATER,PLANT SECTION,Secretary to Commissioner of Water,11,"$40,221.00","$46,301.00",1,1
DEPARTMENT OF WATER,DEPARTMENT OF WATER,PLANT SECTION,Administrative Aide,7,"$30,934.00","$36,315.00",1,1
DEPARTMENT OF WATER,DEPARTMENT OF WATER,PLANT SECTION,Account Clerk II,6,"$29,086.00","$33,770.00",2,2
DEPARTMENT OF WATER,DEPARTMENT OF WATER,PLANT SECTION,Electrician,FLAT,$30.80,$30.80,1,1
DEPARTMENT OF WATER,DEPARTMENT OF WATER,PLANT SECTION,Plumber,FLAT,$30.25,$30.25,3,3
DEPARTMENT OF WATER,DEPARTMENT OF WATER,PLANT SECTION,Heavy Equipment Mechanic Crewleader,29,$20.36,$20.36,1,1
DEPARTMENT OF WATER,DEPARTMENT OF WATER,PLANT SECTION,Water Maintenance Crewleader,24,$19.62,$19.62,6,6
DEPARTMENT OF WATER,DEPARTMENT OF WATER,PLANT SECTION,Storekeeper,15,$17.22,$18.06,1,1
DEPARTMENT OF WATER,DEPARTMENT OF WATER,PLANT SECTION,Underground Facilities Locator,15,$17.22,$18.06,1,1
DEPARTMENT OF WATER,DEPARTMENT OF WATER,PLANT SECTION,HEM I,14,$17.06,$17.92,2,2
DEPARTMENT OF WATER,DEPARTMENT OF WATER,PLANT SECTION,Water Treatment Plant Operator I,13,$16.72,-$17.57,3,4
DEPARTMENT OF WATER,DEPARTMENT OF WATER,PLANT SECTION,Water Maintenance Worker II,12,$16.58,$17.48,10,9
DEPARTMENT OF WATER,DEPARTMENT OF WATER,PLANT SECTION,Emergency Valve Operator,11,$16.35,$17.29,4,4
DEPARTMENT OF WATER,DEPARTMENT OF WATER,PLANT SECTION,Control Center Attendant,11,$16.35,$17.29,8,8
DEPARTMENT OF WATER,DEPARTMENT OF WATER,PLANT SECTION,Water Plant Operator Trainee,9,$15.94,$16.84,1,0
DEPARTMENT OF WATER,DEPARTMENT OF WATER,PLANT SECTION,Water Meter Repair Worker II,9,$15.94,$16.84,1,1
DEPARTMENT OF WATER,DEPARTMENT OF WATER,PLANT SECTION,Motor Equipment Operator,8,$15.83,$16.75,0,2
DEPARTMENT OF WATER,DEPARTMENT OF WATER,PLANT SECTION,Ass't. Emergency Valve Operator,8,$15.83,$16.75,4,4
DEPARTMENT OF WATER,DEPARTMENT OF WATER,PLANT SECTION,Maintenance Worker I,8,$15.83,$16.75,3,3
DEPARTMENT OF WATER,DEPARTMENT OF WATER,PLANT SECTION,Water Maintenance Worker I,8,$15.83,$16.75,17,15
DEPARTMENT OF WATER,DEPARTMENT OF WATER,PLANT SECTION,Water Meter Repair Worker I,7,$15.78,$16.68,3,2
DEPARTMENT OF WATER,DEPARTMENT OF WATER,PLANT SECTION,Meter Reader,7,$15.78,$16.68,4,4
DEPARTMENT OF WATER,DEPARTMENT OF WATER,PLANT SECTION,Laborer II,5,$15.53,$16.41,0,2
DEPARTMENT OF WATER,DEPARTMENT OF WATER,PLANT SECTION,Custodial Worker,1,$14.35,$15.21,1,1
